"rt","response","dr","drt","observed","subject","condition"
0.5101,0,FALSE,0,1,"s1","speed"
0.7628,1,FALSE,0,1,"s1","speed"
0.8092,1,FALSE,0,1,"s1","speed"
0.6724,1,FALSE,0,1,"s1","speed"
0.4281,1,FALSE,0,1,"s1","speed"
0.5411,1,FALSE,0,1,"s1","speed"
0.4425,1,FALSE,0,1,"s1","speed"
0.4965,1,FALSE,0,1,"s1","speed"
0.4079,1,FALSE,0,1,"s1","speed"
0.4587,1,FALSE,0,1,"s1","speed"
0.5858,1,FALSE,0,1,"s1","speed"
0.6272,1,FALSE,0,1,"s1","speed"
0.5208,1,FALSE,0,1,"s1","speed"
0.6639,1,FALSE,0,1,"s1","speed"
0.5662,0,FALSE,0,1,"s1","speed"
0.5466,0,FALSE,0,1,"s1","speed"
0.6367,1,FALSE,0,1,"s1","speed"
0.4595,1,FALSE,0,1,"s1","speed"
0.592,1,FALSE,0,1,"s1","speed"
0.5522,1,FALSE,0,1,"s1","speed"
0.404,0,FALSE,0,1,"s1","speed"
0.5625,0,FALSE,0,1,"s1","speed"
0.5292,1,FALSE,0,1,"s1","speed"
0.9594,0,FALSE,0,1,"s1","speed"
0.5174,0,FALSE,0,1,"s1","speed"
0.692,1,FALSE,0,1,"s1","speed"
0.7096,1,FALSE,0,1,"s1","speed"
0.7041,0,FALSE,0,1,"s1","speed"
0.9367,1,FALSE,0,1,"s1","speed"
0.516,0,FALSE,0,1,"s1","speed"
0.7713,1,FALSE,0,1,"s1","speed"
0.5272,1,FALSE,0,1,"s1","speed"
0.527,1,FALSE,0,1,"s1","speed"
0.4796,1,FALSE,0,1,"s1","speed"
0.7697,0,FALSE,0,1,"s1","speed"
0.5889,1,FALSE,0,1,"s1","speed"
0.4264,1,FALSE,0,1,"s1","speed"
0.5405,1,FALSE,0,1,"s1","speed"
0.5857,1,FALSE,0,1,"s1","speed"
0.7111,0,FALSE,0,1,"s1","speed"
0.8108,1,FALSE,0,1,"s1","speed"
0.8112,1,FALSE,0,1,"s1","speed"
0.5562,0,FALSE,0,1,"s1","speed"
0.6332,1,FALSE,0,1,"s1","speed"
0.438,0,FALSE,0,1,"s1","speed"
0.5743,1,FALSE,0,1,"s1","speed"
0.4442,1,FALSE,0,1,"s1","speed"
0.4685,1,FALSE,0,1,"s1","speed"
0.4405,0,FALSE,0,1,"s1","speed"
0.534,1,FALSE,0,1,"s1","speed"
0.3627,1,FALSE,0,1,"s1","speed"
0.587,1,FALSE,0,1,"s1","speed"
